12:38:55  |  Platform  |  Info  |  * Initialise: DataManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  27
12:38:55  |  Platform  |  Info  |  DataManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreDataManager.cpp  |  35
12:38:55  |  Platform  |  Info  |  * Initialise: RenderManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  43
12:38:55  |  Platform  |  Info  |  RenderManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/Platforms/Ogre/OgrePlatform/src/MyGUI_OgreRenderManager.cpp  |  71
12:38:55  |  Core  |  Info  |  * Initialise: Gui  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_Gui.cpp  |  61
12:38:55  |  Core  |  Info  |  * MyGUI version 3.2.1  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_Gui.cpp  |  73
12:38:55  |  Core  |  Info  |  * Initialise: ResourceManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  32
12:38:55  |  Core  |  Info  |  ResourceManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  40
12:38:55  |  Core  |  Info  |  * Initialise: LayerManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  33
12:38:55  |  Core  |  Info  |  LayerManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_LayerManager.cpp  |  41
12:38:55  |  Core  |  Info  |  * Initialise: WidgetManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  53
12:38:55  |  Core  |  Info  |  WidgetManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_WidgetManager.cpp  |  84
12:38:55  |  Core  |  Info  |  * Initialise: InputManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_InputManager.cpp  |  46
12:38:55  |  Core  |  Info  |  InputManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_InputManager.cpp  |  66
12:38:55  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  36
12:38:55  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_SubWidgetManager.cpp  |  56
12:38:55  |  Core  |  Info  |  * Initialise: SkinManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  36
12:38:55  |  Core  |  Info  |  SkinManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_SkinManager.cpp  |  46
12:38:55  |  Core  |  Info  |  * Initialise: FontManager  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_FontManager.cpp  |  32
12:38:55  |  Core  |  Info  |  FontManager successfully initialized  |  /builddir/build/BUILD/mygui-375d52bee3b8f9f67dd6cd8e07547fa3e344c979/MyGUIEngine/src/MyGUI_FontManager.cpp  |  42
